Cores, Res, Time
3,0.01,3.055733333333531
3,0.01,2.9885333333334225
3,0.01,3.003116666666756
3,0.01,3.0487000000000988
3,0.01,3.0166666666666666
3,0.01,3.0346333333332343
3,0.01,2.9908833333332345
3,0.02,0.902866666666523
3,0.02,0.8979166666666667
3,0.02,0.896866666666756
3,0.02,0.9158833333334769
3,0.02,0.8919166666666569
3,0.02,0.8932333333332887
3,0.02,0.8921833333331354
3,0.02,0.8986999999998564
3,0.02,0.8939999999999902
3,0.02,0.8963500000000446
3,0.04,0.15078333333343227
3,0.04,0.15104999999991076
3,0.04,0.15156666666662205
3,0.04,0.15156666666662205
3,0.04,0.15104999999991076
3,0.04,0.15208333333333332
3,0.04,0.15443333333338766
3,0.04,0.15208333333333332
3,0.04,0.15208333333333332
3,0.04,0.15130000000014357
3,0.08,0.0755166666667113
3,0.08,0.0752499999999903
3,0.08,0.07604999999991074
3,0.08,0.0757666666667016
3,0.08,0.07735000000005433
3,0.08,0.07629999999990104
3,0.08,0.07708333333333334
3,0.08,0.07654999999989134
3,0.08,0.07735000000005433
3,0.08,0.07683333333334304
3,0.16,0.038533333333422584
3,0.16,0.038283333333432285
3,0.16,0.038283333333189756
3,0.16,0.038549999999910746
3,0.16,0.038533333333180056
3,0.16,0.04010000000004463
3,0.16,0.03933333333334303
3,0.16,0.038549999999910746
3,0.16,0.038533333333180056
3,0.16,0.039049999999891345
4,0.005,9.324216666666567
4,0.005,9.264850000000054
4,0.005,9.365100000000044
4,0.005,9.272399999999955
4,0.005,9.427600000000044
4,0.005,9.291916666666657
4,0.005,9.453916666666677
4,0.005,9.365883333333477
4,0.005,9.328633333333224
4,0.005,9.320833333333333
4,0.01,2.2822833333334227
4,0.01,2.2648333333333235
4,0.01,2.2731833333333875
4,0.01,2.2867166666668104
4,0.01,2.301300000000144
4,0.01,2.269016666666721
4,0.01,2.286716666666568
4,0.01,2.2757833333331896
4,0.01,2.2690166666664786
4,0.01,2.29375
4,0.02,0.6755166666667113
4,0.02,0.6791666666666667
4,0.02,0.6906166666665133
4,0.02,0.6742166666668102
4,0.02,0.6820166666667016
4,0.02,0.6770833333333334
4,0.02,0.6739666666665775
4,0.02,0.676566666666622
4,0.02,0.675266666666721
4,0.02,0.6770833333333334
4,0.04,0.11641666666667637
4,0.04,0.11613333333346722
4,0.04,0.11563333333324408
4,0.04,0.11483333333332363
4,0.04,0.11563333333324408
4,0.04,0.11510000000004462
4,0.04,0.11666666666666667
4,0.04,0.11875
4,0.04,0.11563333333324408
4,0.04,0.11641666666667637
4,0.08,0.058333333333333334
4,0.08,0.05755000000014358
4,0.08,0.058083333333343035
4,0.08,0.05806666666661234
4,0.08,0.05781666666662204
4,0.08,0.05781666666662204
4,0.08,0.058600000000054324
4,0.08,0.058083333333343035
4,0.08,0.05781666666686457
4,0.08,0.05781666666662204
4,0.16,0.029416666666656967
4,0.16,0.02943333333314513
4,0.16,0.02943333333314513
4,0.16,0.02969999999986612
4,0.16,0.02994999999985642
4,0.16,0.029683333333135428
4,0.16,0.030200000000089253
4,0.16,0.029950000000098953
4,0.16,0.02968333333337796
4,0.16,0.030200000000089253
5,0.005,7.586716666666567
5,0.005,7.613016666666711
5,0.005,7.694016666666479
5,0.005,7.646883333333487
5,0.005,7.633066666666612
5,0.005,7.559366666666514
5,0.005,7.617183333333378
5,0.005,7.618233333333289
5,0.005,7.685416666666667
5,0.005,7.595316666666622
5,0.01,1.8859499999998661
5,0.01,1.8494833333332887
5,0.01,1.8541666666666667
5,0.01,1.8518166666666123
5,0.01,1.8695333333331898
5,0.01,1.8468833333334866
5,0.01,1.8505166666664687
5,0.01,1.8479166666666667
5,0.01,1.8614500000000893
5,0.01,1.870049999999901
5,0.02,0.5515499999998913
5,0.02,0.5549499999998564
5,0.02,0.5531333333332441
5,0.02,0.5528666666667656
5,0.02,0.5658999999999651
5,0.02,0.5601499999999456
5,0.02,0.5528666666667656
5,0.02,0.557816666666622
5,0.02,0.5505166666667113
5,0.02,0.5685000000000097
5,0.04,0.0942666666667113
5,0.04,0.09401666666647847
5,0.04,0.093483333333279
5,0.04,0.09608333333332363
5,0.04,0.09453333333343229
5,0.04,0.094016666666721
5,0.04,0.093216666666558
5,0.04,0.09583333333333334
5,0.04,0.09583333333333334
5,0.04,0.0942666666667113
5,0.08,0.049216666666810245
5,0.08,0.047399999999955374
5,0.08,0.04791666666666667
5,0.08,0.04791666666666667
5,0.08,0.04740000000019791
5,0.08,0.048450000000108656
5,0.08,0.04818333333338766
5,0.08,0.04844999999986612
5,0.08,0.048700000000098956
5,0.08,0.047149999999965074
5,0.16,0.025249999999990298
5,0.16,0.025266666666720995
5,0.16,0.026833333333343035
5,0.16,0.024733333333279005
5,0.16,0.024733333333279005
5,0.16,0.023966666666577416
5,0.16,0.02448333333328871
5,0.16,0.025516666666711294
5,0.16,0.024216666666810247
5,0.16,0.025266666666478463
6,0.005,6.561983333333289
6,0.005,6.564316666666612
6,0.005,6.807283333333422
6,0.005,6.923183333333387
6,0.005,6.596366666666532
6,0.005,6.553383333333477
6,0.005,6.823166666666657
6,0.005,6.628399999999965
6,0.005,6.964833333333323
6,0.005,6.452083333333333
6,0.01,1.6119833333332887
6,0.01,1.5861999999998564
6,0.01,1.599733333333279
6,0.01,1.5841166666667656
6,0.01,1.6041666666666667
6,0.01,1.5880333333331995
6,0.01,1.5757833333334323
6,0.01,1.688799999999901
6,0.01,1.601833333333343
6,0.01,1.5952999999998914
6,0.02,0.48568333333338765
6,0.02,0.48931666666661233
6,0.02,0.48438333333324407
6,0.02,0.4783833333332344
6,0.02,0.49896666666681994
6,0.02,0.4783833333332344
6,0.02,0.5135333333334225
6,0.02,0.47318333333338763
6,0.02,0.4841166666667656
6,0.02,0.4786499999999554
6,0.04,0.08046666666656771
6,0.04,0.08228333333342258
6,0.04,0.080983333333279
6,0.04,0.08308333333334303
6,0.04,0.0807333333332887
6,0.04,0.07994999999985643
6,0.04,0.08229999999991075
6,0.04,0.08228333333342258
6,0.04,0.08306666666661235
6,0.04,0.08646666666657742
6,0.08,0.041916666666656964
6,0.08,0.04245000000009895
6,0.08,0.04426666666671129
6,0.08,0.04323333333328871
6,0.08,0.041666666666666664
6,0.08,0.041416666666676365
6,0.08,0.04321666666655801
6,0.08,0.043500000000009705
6,0.08,0.041149999999955375
6,0.08,0.041933333333145126
6,0.16,0.021350000000044625
6,0.16,0.021866666666513386
6,0.16,0.022650000000188204
6,0.16,0.02213333333323438
6,0.16,0.023700000000098954
6,0.16,0.02238333333322468
6,0.16,0.022649999999945672
