cores,resolution,time
3, 0.08, 0.13304988621675876
3, 0.16, 0.06631560163320198
3, 0.16, 0.06591357481665909
3, 0.16, 0.06634289089997765
3, 0.16, 0.06608348603331252
3, 0.16, 0.06562903575007416
3, 0.16, 0.06549842536672562
3, 0.16, 0.0657012511335779
3, 0.16, 0.06516400121666568
3, 0.16, 0.06621293408340231
3, 0.16, 0.06510861990003226
4, 0.005, 18.216976572000323
4, 0.005, 18.3453117969669
4, 0.005, 18.26242751906684
4, 0.005, 18.53356449513376
4, 0.005, 18.362709363533455
4, 0.005, 18.416634743749942
4, 0.005, 18.616925650966973
4, 0.005, 18.341833701099677
4, 0.005, 18.253393592933328
4, 0.005, 18.39425954833326
4, 0.01, 4.488102073483363
4, 0.01, 4.426839862816753
4, 0.01, 4.4071177486165345
4, 0.01, 4.502452587916923
4, 0.01, 4.436791949350057
4, 0.01, 4.484183031999661
4, 0.01, 4.479023634116554
4, 0.01, 4.527480674583058
4, 0.01, 4.457690928216713
4, 0.01, 4.529598878366717
4, 0.02, 1.3733190443502583
4, 0.02, 1.3435095862999635
4, 0.02, 1.3601607288665643
4, 0.02, 1.3760782206998556
4, 0.02, 1.3459817316329767
4, 0.02, 1.342906879716611
4, 0.02, 1.3482406664833737
4, 0.02, 1.3420700142499602
4, 0.02, 1.359694714966948
4, 0.02, 1.3768408180665574
4, 0.04, 0.2260003376000289
4, 0.04, 0.23144474788326383
4, 0.04, 0.22816224039997907
4, 0.04, 0.22790261386641456
4, 0.04, 0.23187635918341887
4, 0.04, 0.23441194378344032
4, 0.04, 0.2297622840332527
4, 0.04, 0.2277005596498687
4, 0.04, 0.23516165595016597
4, 0.04, 0.23371059591687907
4, 0.08, 0.11369935328354283
4, 0.08, 0.11225365241698455
4, 0.08, 0.11418904806681288
4, 0.08, 0.1149282586169041
4, 0.08, 0.11409096253337339
4, 0.08, 0.11293274453346384
4, 0.08, 0.11544330646671976
4, 0.08, 0.11251576696668053
4, 0.08, 0.11644463043339784
4, 0.08, 0.11722502034972422
4, 0.16, 0.05703948936667681
4, 0.16, 0.05797472489988043
4, 0.16, 0.05763642373349285
4, 0.16, 0.058406354766824126
4, 0.16, 0.058591950450014946
4, 0.16, 0.05673473383358214
4, 0.16, 0.05781143500013665
4, 0.16, 0.0587112924666144
4, 0.16, 0.059047098983137404
4, 0.16, 0.0568528639167198

Pi 5,ARM Cortex A76 2.4GHz
