cores,resolution,time
4,0.005,3.804221198783489
4,0.005,3.779052068950841
4,0.005,3.7681092616849736
4,0.005,3.8513823799342695
4,0.005,3.8019454384668885
4,0.005,3.7440815961667493
4,0.005,3.8726969256841888
4,0.01,1.882743482850492
4,0.01,1.8882734034656703
4,0.01,1.8875797136841963
4,0.01,1.9194407487326923
4,0.01,1.9193538804169898
4,0.01,1.8698471130997254
4,0.01,1.8554202682998342
4,0.01,1.8797945640340914
4,0.01,1.8864118677156512
4,0.01,1.9267185527326849
4,0.02,0.9241768630822965
4,0.02,0.945028418667304
4,0.02,0.9305242305834933
4,0.02,0.9285232811331904
4,0.02,0.9355975927998467
4,0.02,0.9500816361998052
4,0.02,0.9181598379664744
4,0.02,0.934671786382872
4,0.02,0.9722649597330019
4,0.02,0.9396078167483211
4,0.04,0.46645879473459595
4,0.04,0.4769307916324275
4,0.04,0.4574596792672916
4,0.04,0.46522531235047304
4,0.04,0.46015496279966706
4,0.04,0.4815408016341583
4,0.04,0.46557758150156586
4,0.04,0.4623038030830988
4,0.04,0.46647615608332366
4,0.04,0.46011477288169167
4,0.08,0.23339835329873798
4,0.08,0.23641932838169546
4,0.08,0.23580157109924282
4,0.08,0.2278935570832497
4,0.08,0.2294151866672716
4,0.08,0.2334762992337346
4,0.08,0.22647515705126958
4,0.08,0.23473067299928516
4,0.08,0.26547356918260145
4,0.08,0.23707433803356254
4,0.16,0.11639545663298728
4,0.16,0.11639480646699667
4,0.16,0.11445213440068376
4,0.16,0.11566933111753315
4,0.16,0.11865479301583642
4,0.16,0.11513391846674495
4,0.16,0.11540355180040933
4,0.16,0.11771250718350833
4,0.16,0.11393898679913643
4,0.16,0.11592396978327695
5,0.005,2.9828321770338033
5,0.005,3.024648204765981
5,0.005,3.0125997962837574
5,0.005,3.032959099300206
5,0.005,3.16165653890154
5,0.005,2.9833877152996138
5,0.005,3.0156054761163733
5,0.005,3.055880617299893
5,0.005,3.0741053829008402
5,0.005,3.0432347632498327
5,0.01,1.5044992598996032
5,0.01,1.4850163062665767
5,0.01,1.510895716501788
5,0.01,1.5083472261826196
5,0.01,1.4921718094672543
5,0.01,1.496555427465743
5,0.01,1.50599136184901
5,0.01,1.50053130776505
5,0.01,1.507230638084002
5,0.01,1.5005875901668333
5,0.02,0.765056066015192
5,0.02,0.75630718676645
5,0.02,0.7563090307832074
5,0.02,0.7485573581497496
5,0.02,0.7598749759490602
5,0.02,0.7557527986335724
5,0.02,0.743144311067105
5,0.02,0.7865539719176013
5,0.02,0.7370287970329324
5,0.02,0.7352632845984772
5,0.04,0.3850294804666191
5,0.04,0.3730603048830138
5,0.04,0.3766464102664031
5,0.04,0.3662987747831115
5,0.04,0.4035846613657971
5,0.04,0.37974346001671316
5,0.04,0.3863147148163989
5,0.04,0.37916900901667155
5,0.04,0.3763250285332712
5,0.04,0.36900929611680716
5,0.08,0.18230187325001074
5,0.08,0.18177874778436187
5,0.08,0.18183779256651178
5,0.08,0.1908528069674503
5,0.08,0.18708110494966
5,0.08,0.18173411950119772
5,0.08,0.18112967533331054
5,0.08,0.1827197870996315
5,0.08,0.18826194209977984
5,0.08,0.18648953245137817
5,0.16,0.09278864521572056
5,0.16,0.09442650996691858
5,0.16,0.09166222295025364
5,0.16,0.09293870211695321
5,0.16,0.09377852903368572
5,0.16,0.09487586748242999
5,0.16,0.0951801393336306
5,0.16,0.09433056246683312
5,0.16,0.09546035543316975
5,0.16,0.0945912200162032
6,0.005,2.4814554721000603
6,0.005,2.4842487104838558
6,0.005,2.4752490363665856
6,0.005,2.47974086086809
6,0.005,2.5021110739345507
6,0.005,2.498539100950196
6,0.005,2.4947714919166173
6,0.005,2.493264746283724
6,0.005,2.503376657750535
6,0.005,2.4945974743168335
6,0.01,1.2750464636677254
6,0.01,1.2514950050332119
6,0.01,1.240027388817786
6,0.01,1.246290144751159
6,0.01,1.2459780675999355
6,0.01,1.2428948907841308
6,0.01,1.244489773849879
6,0.01,1.2536706065157583
6,0.01,1.256255404849071
6,0.01,1.2437967546167783
6,0.02,0.6272490424492086
6,0.02,0.6175917943667931
6,0.02,0.6441059529335083
6,0.02,0.6238280371840422
6,0.02,0.6173516664168953
6,0.02,0.6179252518166323
6,0.02,0.6256500348836804
6,0.02,0.6247329117167586
6,0.02,0.6318346721488827
